,Comuna 1,Comuna 10,Comuna 11,Comuna 12,Comuna 13,Comuna 14,Comuna 15,Comuna 16,Comuna 2,Comuna 3,Comuna 4,Comuna 5,Comuna 6,Comuna 7,Comuna 8,Comuna 9,Corregimiento 50,Corregimiento 60,Corregimiento 70,Corregimiento 80,Corregimiento 90,Fecha
111,3.0,27.0,3.0,1.0,5.0,8.0,6.0,2.0,3.0,0.0,3.0,2.0,2.0,1.0,6.0,0.0,0.0,1.0,0.0,1.0,0.0,2015-04-22
112,1.0,28.0,3.0,0.0,11.0,4.0,1.0,3.0,0.0,4.0,6.0,1.0,1.0,0.0,5.0,0.0,0.0,1.0,0.0,1.0,0.0,2015-04-23
113,2.0,29.0,1.0,0.0,5.0,5.0,5.0,4.0,1.0,7.0,1.0,5.0,5.0,0.0,2.0,2.0,0.0,0.0,0.0,0.0,1.0,2015-04-24
114,1.0,30.0,8.0,2.0,1.0,4.0,3.0,1.0,2.0,7.0,5.0,2.0,3.0,0.0,3.0,0.0,0.0,0.0,0.0,1.0,0.0,2015-04-25
115,3.0,19.0,3.0,0.0,1.0,8.0,3.0,1.0,3.0,5.0,3.0,4.0,6.0,3.0,3.0,3.0,1.0,0.0,0.0,4.0,0.0,2015-04-26
116,1.0,17.0,3.0,3.0,1.0,3.0,6.0,2.0,1.0,1.0,3.0,4.0,3.0,1.0,5.0,3.0,1.0,0.0,0.0,0.0,0.0,2015-04-27
117,1.0,18.0,5.0,2.0,0.0,1.0,5.0,1.0,5.0,4.0,3.0,3.0,1.0,2.0,3.0,1.0,0.0,0.0,0.0,1.0,0.0,2015-04-28
118,2.0,19.0,2.0,3.0,2.0,5.0,3.0,5.0,1.0,4.0,1.0,1.0,3.0,0.0,1.0,0.0,0.0,2.0,0.0,0.0,1.0,2015-04-29
119,1.0,15.0,10.0,0.0,2.0,4.0,3.0,4.0,2.0,10.0,2.0,5.0,6.0,7.0,5.0,0.0,0.0,1.0,0.0,0.0,0.0,2015-04-30
120,2.0,16.0,6.0,0.0,1.0,5.0,5.0,5.0,3.0,3.0,2.0,1.0,3.0,1.0,1.0,2.0,0.0,1.0,1.0,4.0,0.0,2015-05-01
121,3.0,15.0,15.0,0.0,0.0,18.0,4.0,2.0,1.0,3.0,5.0,2.0,2.0,1.0,10.0,3.0,0.0,0.0,0.0,1.0,0.0,2015-05-02
122,4.0,13.0,5.0,1.0,1.0,5.0,0.0,1.0,1.0,2.0,1.0,2.0,3.0,5.0,1.0,1.0,1.0,0.0,0.0,2.0,0.0,2015-05-03
123,2.0,16.0,12.0,4.0,2.0,2.0,4.0,2.0,1.0,4.0,1.0,6.0,0.0,2.0,4.0,1.0,0.0,0.0,0.0,0.0,0.0,2015-05-04
124,5.0,15.0,7.0,0.0,2.0,7.0,3.0,1.0,0.0,1.0,1.0,3.0,2.0,1.0,5.0,1.0,0.0,5.0,0.0,5.0,0.0,2015-05-05
125,0.0,13.0,13.0,1.0,0.0,5.0,0.0,0.0,3.0,3.0,0.0,1.0,18.0,2.0,4.0,5.0,0.0,2.0,0.0,2.0,1.0,2015-05-06
126,4.0,25.0,10.0,0.0,0.0,3.0,1.0,3.0,3.0,0.0,1.0,2.0,5.0,5.0,5.0,1.0,0.0,3.0,0.0,1.0,0.0,2015-05-07
127,3.0,12.0,8.0,2.0,3.0,7.0,4.0,5.0,0.0,2.0,7.0,15.0,4.0,1.0,5.0,2.0,0.0,1.0,0.0,1.0,0.0,2015-05-08
128,2.0,20.0,5.0,1.0,0.0,8.0,2.0,5.0,4.0,1.0,5.0,5.0,1.0,5.0,2.0,7.0,0.0,0.0,1.0,1.0,0.0,2015-05-09
129,2.0,8.0,5.0,2.0,1.0,2.0,2.0,2.0,1.0,1.0,3.0,2.0,4.0,4.0,1.0,0.0,1.0,4.0,0.0,0.0,0.0,2015-05-10
130,3.0,15.0,8.0,0.0,1.0,3.0,2.0,1.0,2.0,3.0,2.0,6.0,4.0,2.0,5.0,3.0,0.0,0.0,0.0,0.0,0.0,2015-05-11
131,1.0,13.0,7.0,1.0,1.0,3.0,0.0,2.0,5.0,3.0,2.0,2.0,2.0,2.0,2.0,0.0,0.0,1.0,0.0,0.0,0.0,2015-05-12
132,6.0,33.0,7.0,4.0,2.0,3.0,0.0,3.0,1.0,2.0,3.0,1.0,2.0,2.0,1.0,4.0,1.0,0.0,0.0,3.0,0.0,2015-05-13
133,6.0,20.0,6.0,0.0,1.0,4.0,1.0,2.0,1.0,2.0,5.0,3.0,1.0,4.0,3.0,1.0,0.0,2.0,0.0,1.0,0.0,2015-05-14
134,1.0,18.0,6.0,0.0,2.0,4.0,2.0,2.0,0.0,5.0,7.0,3.0,3.0,0.0,3.0,3.0,0.0,0.0,0.0,1.0,0.0,2015-05-15
135,6.0,16.0,5.0,0.0,2.0,2.0,7.0,1.0,0.0,1.0,2.0,0.0,8.0,1.0,4.0,3.0,0.0,1.0,0.0,3.0,0.0,2015-05-16
136,3.0,19.0,11.0,0.0,2.0,12.0,1.0,0.0,1.0,0.0,5.0,2.0,2.0,4.0,6.0,2.0,0.0,3.0,0.0,3.0,0.0,2015-05-17
137,2.0,9.0,6.0,1.0,3.0,1.0,10.0,3.0,0.0,3.0,6.0,3.0,3.0,2.0,4.0,0.0,0.0,3.0,1.0,0.0,0.0,2015-05-18
